,microwave_11_Trans_V7_gradTruth,microwave_11_Trans_V7_predicted
369,4.0,7.089668
370,3.0,7.0909348
371,4.0,7.075844
372,4.0,7.0658345
373,3.0,7.0189295
374,3.0,6.71749
375,4.0,6.8367143
376,4.0,7.1018367
377,3.0,7.0740848
378,4.0,6.8787346
379,4.0,7.0580087
380,3.0,6.7345343
381,3.0,7.0457234
382,3.0,7.057116
383,3.0,7.0878806
384,4.0,6.9442096
385,3.0,7.0641766
386,3.0,6.807925
387,3.0,7.0339413
388,3.0,5.519775
389,3.0,6.2953935
390,4.0,6.7142344
391,4.0,6.799349
392,4.0,6.748278
393,4.0,6.7890635
394,4.0,6.7910037
395,4.0,6.6734185
396,4.0,6.7993393
397,3.0,6.7903366
398,3.0,6.8250766
399,3.0,6.8011556
400,3.0,6.760998
401,3.0,6.826088
402,3.0,6.7516313
403,4.0,6.7193184
404,4.0,4.561082
405,4.0,4.937055
406,4.0,4.795117
407,4.0,4.5580387
408,4.0,4.7033453
409,4.0,4.749699
410,4.0,4.677619
411,4.0,4.675974
412,3.0,4.65444
413,4.0,4.5763454
414,3.0,6.18888
415,4.0,5.493569
416,4.0,5.8320293
417,4.0,5.909236
418,3.0,5.9375205
419,4.0,5.9389257
420,3.0,5.867356
421,3.0,5.928158
422,4.0,5.8231344
423,3.0,5.7985053
424,4.0,5.8269343
425,3.0,5.818921
426,4.0,5.790389
427,4.0,5.8258667
428,3.0,5.870131
429,4.0,5.8104577
430,4.0,5.870484
431,4.0,5.806182
432,4.0,5.81338
433,3.0,5.8782754
434,4.0,5.812375
435,3.0,5.819404
436,3.0,5.8232727
437,3.0,5.8430037
438,4.0,5.9372816
439,4.0,5.6780944
440,4.0,5.112879
441,3.0,4.5784698
442,3.0,4.946895
443,4.0,5.723098
444,4.0,5.9108443
445,4.0,5.662168
446,3.0,5.684206
447,4.0,5.709907
448,4.0,4.0876904
449,4.0,4.2590528
450,4.0,4.5137525
451,4.0,4.653687
452,4.0,4.4363613
453,4.0,4.6160417
454,4.0,4.6657543
455,4.0,4.5775256
456,4.0,4.581043
457,3.0,4.578114
458,3.0,4.8400493
459,3.0,6.072987
460,3.0,5.4256344
461,4.0,5.800775
462,3.0,5.9342422
463,4.0,5.9186034
464,3.0,5.8823
465,3.0,5.9268556
466,4.0,5.8619366
467,3.0,5.914567
468,4.0,5.8801436
469,3.0,5.8250566
470,4.0,5.8130283
471,3.0,5.8314977
472,3.0,5.8366776
473,4.0,5.8378406
474,4.0,5.809925
475,3.0,5.830573
476,3.0,5.8141017
477,3.0,5.8017545
478,3.0,5.8034997
479,4.0,5.8045807
480,4.0,5.808533
481,3.0,5.8342886
482,4.0,5.8524976
483,4.0,5.81941
484,3.0,5.835862
485,4.0,5.8317027
486,3.0,5.845075
487,4.0,5.8318233
488,4.0,5.9935875
489,4.0,6.0112915
490,4.0,4.033213
491,4.0,4.5533504
492,4.0,4.4769344
493,4.0,4.628297
494,4.0,4.438672
495,4.0,4.6015544
496,4.0,4.6777587
497,4.0,4.582797
498,4.0,4.5774255
499,4.0,4.5886946
500,3.0,4.591302
501,4.0,4.656109
502,4.0,6.262672
503,4.0,5.071525
504,4.0,5.0096927
505,4.0,5.197591
506,4.0,5.047015
507,4.0,5.012948
508,4.0,4.977861
509,4.0,4.966503
510,4.0,5.0856028
511,4.0,5.0244985
512,4.0,4.9129004
513,4.0,4.9384394
514,4.0,4.9297075
515,4.0,4.9861135
516,4.0,4.957261
517,4.0,4.990206
518,4.0,5.0472937
519,4.0,5.0199304
520,4.0,4.959636
521,4.0,5.0361423
522,3.0,4.8980317
523,4.0,4.9985657
524,4.0,5.0388293
525,4.0,4.9581957
526,4.0,4.9639
527,4.0,5.010416
528,4.0,5.0128756
529,4.0,4.976291
530,4.0,4.962578
531,4.0,5.0019684
532,4.0,4.9583235
533,4.0,3.8293464
534,4.0,4.428642
535,4.0,4.467
536,4.0,4.336678
537,4.0,4.4337945
538,4.0,4.491668
539,4.0,4.4720283
540,4.0,4.494131
541,4.0,4.487809
542,4.0,4.473385
543,4.0,5.4657
544,4.0,7.258807
545,4.0,5.336645
546,4.0,5.0668907
547,4.0,5.179943
548,4.0,5.094413
549,4.0,5.4058127
550,4.0,5.0873685
551,4.0,5.2109246
552,4.0,5.465147
553,4.0,5.4618773
554,4.0,5.62828
555,4.0,5.3516326
556,4.0,5.200431
557,4.0,5.3460507
558,4.0,5.4600353
559,4.0,5.6145453
560,4.0,5.538266
561,4.0,5.3825183
562,4.0,4.285255
563,4.0,4.363545
564,4.0,4.629033
565,4.0,4.658869
566,4.0,4.3826017
567,4.0,4.293233
568,4.0,4.4799576
569,4.0,4.6067815
570,4.0,4.552704
571,4.0,4.5498013
572,4.0,4.535187
573,4.0,4.504449
574,4.0,4.5260463
575,4.0,4.547802
576,4.0,4.549426
577,4.0,4.739446
578,4.0,4.574427
579,4.0,4.595837
580,4.0,4.649541
581,4.0,4.610664
582,4.0,4.5272083
583,4.0,4.526152
584,4.0,4.53875
585,4.0,4.540809
586,4.0,4.5293994
587,4.0,4.527455
588,4.0,4.5400686
589,4.0,4.5348854
590,4.0,4.5597386
591,4.0,4.5293574
592,4.0,4.5349317
593,4.0,4.5548368
594,4.0,4.559302
595,4.0,4.541737
596,4.0,4.5422997
597,4.0,4.552317
598,4.0,4.5469623
599,4.0,4.5575814
600,4.0,4.561726
601,4.0,4.4874296
602,4.0,4.4786777
603,4.0,4.479975
604,4.0,4.4555726
605,4.0,4.5042863
606,4.0,4.481213
607,4.0,4.313305
608,4.0,4.685556
609,4.0,4.595071
610,4.0,4.4816566
611,4.0,4.534472
612,4.0,4.4734507
613,4.0,4.4810624
614,4.0,4.4857273
615,4.0,4.494019
616,4.0,4.4908004
617,4.0,4.4574537
618,4.0,4.489918
619,4.0,4.4696364
620,4.0,4.4847865
621,3.0,4.4645553
622,4.0,6.190643
623,3.0,6.3534164
624,3.0,5.646289
625,4.0,5.762334
626,3.0,5.8329163
627,4.0,5.830283
628,3.0,5.8180156
629,4.0,5.8142314
630,4.0,4.33192
631,4.0,4.632675
632,4.0,4.666047
633,4.0,4.4695983
634,4.0,4.5083003
635,4.0,4.464349
636,4.0,4.472187
637,4.0,4.453973
638,4.0,4.4587364
639,4.0,4.433677
640,4.0,4.4762397
641,4.0,4.4705777
642,4.0,4.456867
643,4.0,4.4944806
644,4.0,4.4759064
645,4.0,4.462627
646,4.0,4.4579067
647,4.0,4.4382787
648,4.0,4.4381146
649,4.0,4.472038
650,4.0,4.498231
651,4.0,4.4347496
652,4.0,4.4556217
653,4.0,4.4995313
654,4.0,4.473045
655,4.0,4.4549584
656,4.0,4.4752865
657,4.0,4.476285
658,4.0,4.4679446
659,4.0,4.4672737
660,4.0,4.458551
661,4.0,4.47798
662,4.0,4.4752445
663,4.0,4.4863005
664,4.0,4.477804
665,4.0,4.464894
666,4.0,4.469346
667,4.0,4.4618044
668,4.0,4.4847217
669,4.0,4.4778805
670,4.0,4.47013
671,4.0,4.467273
672,4.0,4.4684324
673,4.0,4.469228
674,4.0,4.466221
675,4.0,4.472232
676,4.0,4.4766345
677,4.0,4.469656
678,4.0,4.5183682
679,4.0,4.540709
680,4.0,4.547794
681,4.0,4.5491195
682,4.0,4.5448427
683,4.0,4.544447
684,4.0,4.537639
685,4.0,4.545091
686,4.0,4.361601
687,4.0,4.1975083
688,4.0,4.4242854
689,4.0,4.574303
690,4.0,4.5257497
691,4.0,4.4606996
692,4.0,4.459743
693,4.0,4.468597
694,4.0,4.4688187
695,4.0,4.4704213
696,4.0,4.4681315
697,4.0,4.470287
698,4.0,4.471498
699,4.0,4.4712744
700,4.0,4.4715905
701,4.0,4.470623
702,4.0,4.475176
703,4.0,4.472902
704,4.0,4.469406
705,4.0,4.472287
706,4.0,4.4780073
707,4.0,4.474504
708,4.0,4.4759383
709,4.0,4.477642
710,4.0,4.476499
711,4.0,4.4784985
712,4.0,4.4748864
713,4.0,4.491399
714,4.0,4.500439
715,4.0,4.492891
716,4.0,4.4910054
717,4.0,4.492643
718,4.0,4.48964
719,4.0,4.4965506
720,4.0,4.4911413
721,4.0,4.4897995
722,4.0,4.491347
723,4.0,4.489932
724,4.0,4.4889836
725,4.0,4.486916
726,4.0,4.492637
727,4.0,4.4889226
728,4.0,4.483067
729,4.0,4.485828
730,4.0,4.4868293
731,4.0,4.481129
732,4.0,4.472772
733,4.0,4.4825616
734,4.0,4.504333
735,4.0,4.5324535
736,4.0,4.537007
737,4.0,4.536979
738,4.0,4.5345697
739,4.0,4.534706
740,4.0,4.53643
741,4.0,4.5335236
742,4.0,4.53444
743,4.0,4.5355506
744,4.0,4.537869
745,4.0,4.5354376
746,4.0,4.5353365
747,4.0,4.5384
748,4.0,4.534988
749,4.0,4.5347323
750,4.0,4.534798
751,4.0,4.5357885
752,4.0,4.5344467
753,4.0,4.53757
754,4.0,4.5327773
755,4.0,4.535968
756,4.0,4.5357265
757,4.0,4.534032
758,4.0,4.534247
759,4.0,4.531881
760,4.0,4.541605
761,4.0,4.557379
762,4.0,4.5836864
763,4.0,4.5941095
764,4.0,4.585751
765,4.0,4.5850167
766,4.0,4.587635
767,4.0,4.5860066
768,4.0,4.5875363
769,4.0,4.588154
770,4.0,4.5787144
771,4.0,4.5871825
772,4.0,4.592601
773,4.0,4.589048
774,4.0,4.5890636
775,4.0,4.591677
776,4.0,4.584823
777,4.0,4.5345616
778,4.0,4.55363
779,4.0,4.521089
780,4.0,4.5127172
781,4.0,4.5244527
782,4.0,4.5184965
783,4.0,4.520854
784,4.0,4.5302873
785,4.0,4.546457
786,4.0,4.588826
787,4.0,4.594025
788,4.0,4.581591
789,4.0,4.577682
790,4.0,4.585129
791,4.0,4.5981545
792,4.0,4.6118116
793,4.0,4.612382
794,4.0,4.6143413
795,4.0,4.6167145
796,4.0,4.6112027
797,4.0,4.612913
798,4.0,4.620475
799,4.0,4.5904703
800,4.0,4.5722375
801,4.0,4.5700316
802,4.0,4.548882
803,4.0,4.551696
804,4.0,4.5483856
805,4.0,4.551169
806,4.0,4.55361
807,4.0,4.548413
808,4.0,4.5487056
809,4.0,4.5463862
810,4.0,4.547245
811,4.0,4.544327
812,4.0,4.547774
813,4.0,4.5391297
814,4.0,4.5215726
815,4.0,4.523762
816,4.0,4.5181513
817,4.0,4.5192833
818,4.0,4.5174246
819,4.0,4.517528
820,4.0,4.5179234
821,4.0,4.514326
822,4.0,4.5119557
823,4.0,4.511842
824,4.0,4.5154357
825,4.0,4.5140576
826,4.0,4.5162277
827,4.0,4.5200295
828,4.0,4.5258837
829,4.0,4.526006
830,4.0,4.52195
831,4.0,4.5234346
832,4.0,4.5209913
833,4.0,4.517169
834,4.0,4.5229464
835,4.0,4.5189357
836,4.0,4.515502
837,4.0,4.5182095
838,4.0,4.509911
839,4.0,4.5124826
840,4.0,4.519152
841,4.0,4.5152125
842,4.0,4.521473
843,4.0,4.520232
844,4.0,4.525049
845,4.0,4.5286546
846,4.0,4.5279617
847,4.0,4.530464
848,4.0,4.536876
849,4.0,4.5351534
850,4.0,4.535933
851,4.0,4.5364356
852,4.0,4.530689
853,4.0,4.53311
854,4.0,4.5359664
855,4.0,4.5336404
856,4.0,4.5350237
857,4.0,4.5324717
858,4.0,4.5340915
859,4.0,4.5348034
860,4.0,4.533419
861,4.0,4.532427
862,4.0,4.527734
863,4.0,4.5363765
864,4.0,4.5354934
865,4.0,4.535537
866,4.0,4.531658
867,4.0,4.5353436
868,4.0,4.5349045
869,4.0,4.5302453
870,4.0,4.537693
871,4.0,4.5366735
872,4.0,4.534814
873,4.0,4.533325
874,4.0,4.53515
875,4.0,4.533295
876,4.0,4.529262
877,4.0,4.529071
878,4.0,4.5338035
879,4.0,4.53051
880,4.0,4.5340185
881,4.0,4.5332675
882,4.0,4.531987
883,4.0,4.5322328
884,4.0,4.5303183
885,4.0,4.5340796
886,4.0,4.5314784
887,4.0,4.5334907
888,4.0,4.5323977
889,4.0,4.533813
890,4.0,4.5367627
891,4.0,4.5395637
892,4.0,4.5290966
893,4.0,4.5353174
894,4.0,4.537905
895,4.0,4.5324
896,4.0,4.5380316
897,4.0,4.535385
898,4.0,4.5317674
899,4.0,4.537218
900,4.0,4.538965
901,4.0,4.53661
902,4.0,4.5327935
903,4.0,4.5374675
904,4.0,4.536684
905,4.0,4.5390964
906,4.0,4.5415664
907,4.0,4.532321
908,4.0,4.536975
909,4.0,4.5418777
910,4.0,4.5353594
911,4.0,4.5398326
912,4.0,4.538638
913,4.0,4.541594
914,4.0,4.534092
915,4.0,4.5357943
916,4.0,4.535216
917,4.0,4.5358815
918,4.0,4.53558
919,4.0,4.5309353
920,4.0,4.5347157
921,4.0,4.5353193
922,4.0,4.536105
923,4.0,4.5335817
924,4.0,4.536303
925,4.0,4.5324855
926,4.0,4.535244
927,4.0,4.534636
928,4.0,4.5352683
929,4.0,4.5376005
930,4.0,4.534613
931,4.0,4.53549
932,4.0,4.53761
933,4.0,4.537799
934,4.0,4.5341034
935,4.0,4.5362983
936,4.0,4.536036
937,4.0,4.536656
938,4.0,4.5368
939,4.0,4.5361133
940,4.0,4.5348744
941,4.0,4.535388
942,4.0,4.534535
943,4.0,4.535488
944,4.0,4.5333624
945,4.0,4.529525
946,4.0,4.534673
947,4.0,4.535078
948,4.0,4.5311713
949,4.0,4.5363483
950,4.0,4.537738
951,4.0,4.5387354
952,4.0,4.5309954
953,4.0,4.5376415
954,4.0,4.5433426
955,4.0,4.5317287
956,4.0,4.539355
957,4.0,4.5445175
958,4.0,4.532478
959,4.0,4.537123
960,4.0,4.541593
961,4.0,4.539493
962,4.0,4.534995
963,4.0,4.538056
964,4.0,4.540017
965,4.0,4.539216
966,4.0,4.543491
967,4.0,4.5414715
968,4.0,4.5430293
969,4.0,4.536281
970,4.0,4.546812
971,4.0,4.5383186
972,4.0,4.539609
973,4.0,4.539943
974,4.0,4.537897
975,4.0,4.5396643
976,4.0,4.534754
977,4.0,4.5380926
978,4.0,4.5352316
979,4.0,4.5352874
980,4.0,4.5399127
981,4.0,4.5391865
982,4.0,4.5400095
983,4.0,4.5402737
984,4.0,4.53868
985,4.0,4.5368533
986,4.0,4.5416403
987,4.0,4.535457
988,4.0,4.538627
989,4.0,4.536617
990,4.0,4.538765
991,4.0,4.537122
992,4.0,4.5363803
993,4.0,4.536746
994,4.0,4.5332546
995,4.0,4.536065
996,4.0,4.535685
997,4.0,4.5366316
998,4.0,4.5373435
999,4.0,4.5354943
1000,4.0,4.5342374
1001,4.0,4.5390177
1002,4.0,4.53916
1003,4.0,4.5334516
1004,4.0,4.5374885
1005,4.0,4.537606
1006,4.0,4.5352674
1007,4.0,4.536912
1008,4.0,4.53162
1009,4.0,4.532477
1010,4.0,4.5352006
1011,4.0,4.5340176
1012,4.0,4.5338345
1013,4.0,4.53378
1014,4.0,4.5301056
1015,4.0,4.5341797
1016,4.0,4.5359683
1017,4.0,4.5353565
1018,4.0,4.5329695
1019,4.0,4.5367184
1020,4.0,4.5382423
1021,4.0,4.532032
1022,4.0,4.5406046
1023,4.0,4.5446877
1024,4.0,4.5354047
1025,4.0,4.53626
1026,4.0,4.5396667
1027,4.0,4.5385356
1028,4.0,4.5328765
1029,4.0,4.5341015
1030,4.0,4.531334
1031,4.0,4.5385146
1032,4.0,4.5341086
1033,4.0,4.5382123
1034,4.0,4.5358434
1035,4.0,4.5362105
1036,4.0,4.544127
1037,4.0,4.5386252
1038,4.0,4.538024
1039,4.0,4.5355144
1040,4.0,4.53787
1041,4.0,4.5336494
1042,4.0,4.5336704
1043,4.0,4.5326157
1044,4.0,4.536861
1045,4.0,4.5359774
1046,4.0,4.535344
1047,4.0,4.5354156
1048,4.0,4.5359936
1049,4.0,4.5355983
1050,4.0,4.540269
1051,4.0,4.5382957
1052,4.0,4.5368786
1053,4.0,4.534742
1054,4.0,4.5355864
1055,4.0,4.535347
1056,4.0,4.5361705
1057,4.0,4.5336666
1058,4.0,4.5328755
1059,4.0,4.5359683
1060,4.0,4.533755
1061,4.0,4.535134
1062,4.0,4.5341263
1063,4.0,4.5362444
1064,4.0,4.53299
1065,4.0,4.5358057
1066,4.0,4.5335784
1067,4.0,4.536391
1068,4.0,4.533927
1069,4.0,4.533085
1070,4.0,4.5333056
1071,4.0,4.5381856
1072,4.0,4.5329275
1073,4.0,4.5338097
1074,4.0,4.5330553
1075,4.0,4.533761
1076,4.0,4.5346003
1077,4.0,4.533878
1078,4.0,4.5313883
1079,4.0,4.5345697
1080,4.0,4.537257
1081,4.0,4.534649
1082,4.0,4.5374036
1083,4.0,4.540782
1084,4.0,4.5327835
1085,4.0,4.5460944
1086,4.0,4.544871
1087,4.0,4.533267
1088,4.0,4.5408163
1089,4.0,4.538521
1090,4.0,4.5349746
1091,4.0,4.5348783
1092,4.0,4.5399876
1093,4.0,4.5326424
1094,4.0,4.537616
1095,4.0,4.5396605
1096,4.0,4.540318
1097,4.0,4.5423574
1098,4.0,4.5418715
1099,4.0,4.5406017
1100,4.0,4.5375395
1101,4.0,4.53749
1102,4.0,4.542548
1103,4.0,4.536181
1104,4.0,4.5373964
1105,4.0,4.534423
1106,4.0,4.536585
1107,4.0,4.533422
1108,4.0,4.5306015
1109,4.0,4.5384517
1110,4.0,4.5353317
1111,4.0,4.5313253
1112,4.0,4.53306
1113,4.0,4.5352163
1114,4.0,4.5350313
1115,4.0,4.534314
1116,4.0,4.538116
1117,4.0,4.5360847
1118,4.0,4.5378695
1119,4.0,4.53605
1120,4.0,4.5360303
1121,4.0,4.535637
1122,4.0,4.537395
1123,4.0,4.535384
1124,4.0,4.536938
1125,4.0,4.5399213
1126,4.0,4.5356793
1127,4.0,4.5359035
1128,4.0,4.537939
1129,4.0,4.538499
1130,4.0,4.5343776
1131,4.0,4.5356812
1132,4.0,4.531547
1133,4.0,4.5339274
1134,4.0,4.5336766
1135,4.0,4.5386586
1136,4.0,4.5370817
1137,4.0,4.5341473
1138,4.0,4.5342646
1139,4.0,4.5338044
1140,4.0,4.5352645
1141,4.0,4.5356717
1142,4.0,4.5372367
1143,4.0,4.53452
1144,4.0,4.535935
1145,4.0,4.540885
1146,4.0,4.534131
1147,4.0,4.539751
1148,4.0,4.540655
1149,4.0,4.536197
1150,4.0,4.5391803
1151,4.0,4.5379996
1152,4.0,4.5373187
1153,4.0,4.533182
1154,4.0,4.53796
1155,4.0,4.539949
1156,4.0,4.53242
1157,4.0,4.5420566
1158,4.0,4.540139
1159,4.0,4.541256
1160,4.0,4.545293
1161,4.0,4.5471473
1162,4.0,4.539017
1163,4.0,4.541919
1164,4.0,4.540677
1165,4.0,4.538381
1166,4.0,4.539149
1167,4.0,4.5397696
1168,4.0,4.5357594
1169,4.0,4.5364313
1170,4.0,4.53796
1171,4.0,4.5356846
1172,4.0,4.5386534
1173,4.0,4.5369763
1174,4.0,4.536163
1175,4.0,4.538933
1176,4.0,4.5345263
1177,4.0,4.537132
1178,4.0,4.5361857
1179,4.0,4.538843
1180,4.0,4.54101
1181,4.0,4.5386915
1182,4.0,4.538656
1183,4.0,4.5381556
1184,4.0,4.5389023
1185,4.0,4.540383
1186,4.0,4.5393558
1187,4.0,4.5392375
